,Location,Life span,Overweight(%),High Blood Glucose(%),High Blood Pressure(%),High Cholesterol(%),NCD death probability(%),Malignant neoplasms death(%),Diabetes mellitus death(%),Cardiovascular death(%),Chronic obstructive pulmonary death(%)
30,Canada,82.81,64.1 [60.5-67.6],5.5 [3.6-7.9],13.2 [9.4-17.7],53.4 [37.2-69.1],9.8,0.2152272347849165,0.019077621595306942,0.17503532287191068,0.05115034402660455
31,Central African Republic,53.04,26.2 [21.1-31.6],7.8 [4.6-12.7],31.2 [23.3-39.5],22.2 [9.8-39],23.1,0.05282431584577415,0.014148189725901964,0.15023085570323005,0.0244397856791671
32,Chad,54.26,23.1 [19.2-27.3],7 [4.3-10.6],32.9 [25.7-40.6],17.9 [8.6-30.9],23.9,0.03656863799438223,0.012690862537768707,0.1209683677504306,0.02141239685755564
33,Chile,79.52,63.1 [58.4-67.5],10.5 [7-14.8],20.9 [15.8-26.8],48.6 [34-62],12.4,0.1535388514033005,0.028397932634897594,0.16309452782656908,0.03879384957124669
34,China,76.39,32.3 [28.7-36.2],8.8 [6-12.4],19.2 [14.9-24],33.4 [25.3-41.9],17.0,0.16757109608464987,0.011828936496815467,0.3165137051620291,0.06635037157716517
35,Colombia,75.11,59 [54.9-63.3],8.5 [5.5-12.4],19.2 [14.2-24.7],42.4 [32.8-52],15.8,0.11673885618131612,0.020201329119589048,0.17433713817991423,0.03792834830180138
36,Comoros,63.86,27.1 [22.7-31.6],8 [5.3-11.4],27.9 [21.3-35.3],24 [12.2-39],22.9,0.05869805944466859,0.016968389775225398,0.12430916657554014,0.016088547342435932
37,Congo,64.3,30.9 [25.5-36.3],7.7 [4.3-12.8],26.2 [19.1-34.3],29 [13.9-47.5],16.7,0.03641841912741949,0.013230285669773675,0.11074090402802975,0.016261807879387975
38,Costa Rica,79.56,61.6 [57-65.9],8.9 [5.8-12.8],18.7 [14-24.3],41.1 [25.4-58.6],11.5,0.11785270493797528,0.018696411105504913,0.14750978499943668,0.03286159593871497
39,Croatia,78.29,59.6 [55.1-64.1],7.3 [4.6-11],32.4 [26.4-39.3],49.8 [31.9-67.3],16.7,0.33623920100954924,0.045240579374050016,0.5484945032933669,0.04790178992546472
