,Location,Life span,Overweight(%),High Blood Glucose(%),High Blood Pressure(%),High Cholesterol(%),NCD death probability(%),Malignant neoplasms death(%),Diabetes mellitus death(%),Cardiovascular death(%),Chronic obstructive pulmonary death(%)
131,Russian Federation,71.87,57.1 [52.5-61.6],7.7 [4.6-11.9],27.2 [21.2-33.6],50.6 [32.3-67.9],25.4,0.2471788508353797,0.006754069688369895,0.704035358394603,0.022953649391396505
132,Rwanda,68.04,25.1 [21.2-29.2],4.4 [2.6-6.9],26.7 [19.7-34.3],23 [10.1-39.2],18.2,0.07309216717461539,0.012297720705308133,0.07831976970439794,0.014748695006157003
133,Saint Lucia,75.6,48.1 [42.3-54.1],14.5 [8.7-21.7],27.1 [20.2-35],37.7 [21.4-55.7],18.8,0.14220010220632345,0.06443442131224032,0.24551736396560536,0.03610549470082432
134,Saint Vincent and the Grenadines,71.96,55 [49.4-60.5],10.6 [6.6-15.8],23.3 [17-30.5],36.3 [20.9-53.4],23.2,0.15164387440963942,0.08769766230918906,0.2904985063991888,0.026492002155900862
135,Samoa,75.07,77.6 [73.4-81.6],24.6 [17.1-32.6],24 [17.9-30.8],34.6 [21.1-49.4],20.6,0.07402076693739076,0.04215071450601419,0.1655186594016655,0.026729721394057777
136,Sao Tome and Principe,68.72,35.4 [30.5-40.4],8 [5.1-11.9],25.8 [19.7-33],18.1 [12.3-25.2],18.5,0.0546203394334247,0.006396976690401092,0.10284370217644831,0.037397709882344844
137,Saudi Arabia,74.75,69.7 [65.9-73.4],17.4 [12.9-22.9],23.3 [18-29.2],39 [27.8-50.2],16.4,0.033427401647846064,0.011518506220193708,0.1308122568865456,0.00934241165464467
138,Senegal,66.77,28.4 [24.3-32.8],7.4 [4.6-10.9],30.2 [23-38],21.4 [11.1-35.9],18.1,0.039216957412385116,0.01445291610759159,0.10828682322236136,0.018247890387803688
139,Serbia,76.34,57.1 [52.6-61.5],6.9 [4.3-10.2],29.5 [23.4-35.6],49.8 [30.6-69.9],19.1,0.26565505186773425,0.03459467811193699,0.6490313998375643,0.062277197227953184
140,Seychelles,73.26,36.8 [31.8-41.9],10.4 [6.9-14.9],23.5 [17.6-30.2],57.7 [44.2-69.5],21.2,0.1494081140098839,0.021941051707745192,0.27687517631202263,0.03134435958249313
141,Sierra Leone,53.13,27.7 [23.6-32.1],6.9 [4.4-10.2],30.3 [23.4-37.2],16.1 [7.9-28.4],30.5,0.034275518956190375,0.019552873672062425,0.17347888057683297,0.026170559457791853
142,Singapore,82.95,31.8 [27.6-35.9],7.9 [5.5-10.8],14.6 [10.8-19],57.5 [46.7-67.7],9.3,0.14919631210064338,0.007075106679342899,0.14475668265935573,0.015299918194079021
143,Slovakia,77.42,56.2 [51.4-60.7],7.2 [4.7-10.5],28.5 [22.5-34.9],52.5 [34.3-69.5],17.2,0.2696067126779286,0.017346560575788206,0.377581702024678,0.0245314177634293
144,Slovenia,80.91,56.1 [51-61],7.1 [4.4-10.6],30.5 [23.9-37.9],56.3 [38.3-72.4],12.7,0.30209164475063943,0.016391822409067572,0.38511140412832867,0.03577274184567099
145,Solomon Islands,71.13,55 [49.2-60.9],13.9 [8.8-20.5],22 [15.7-29],33.2 [22.1-46.4],23.8,0.059408689812378325,0.03325595136236395,0.12979507230747872,0.029220034934892596
146,Somalia,55.45,28.4 [23.6-33.2],6.8 [4.2-10.4],32.9 [25.2-41.3],24.7 [12.9-39.9],21.8,0.04249369168176116,0.013302189151208246,0.1126562187734282,0.016185387541692707
147,South Africa,63.6,53.8 [49.8-57.9],11.3 [7.2-16.4],26.9 [21.7-32.7],35.5 [21.3-51.2],26.2,0.09038805376826915,0.0662329783620731,0.17356890340672315,0.04185551329499655
148,Spain,83.08,61.6 [57.7-65.4],7.1 [4.6-10.2],19.2 [14.5-24.6],56.1 [45.4-66],9.9,0.23590661526425788,0.021602203759302392,0.2534602821268397,0.09260813716031292
149,Sri Lanka,75.33,23.3 [19.4-27.3],7.4 [4.8-10.9],22.4 [16.5-29.3],35.8 [20.4-53.5],17.4,0.0970735368433461,0.058983376620633556,0.23120018446160265,0.05628133952727765
150,Suriname,71.81,58.9 [53.9-63.9],12.3 [8.1-17.8],22.4 [16.2-29.5],35.6 [20.6-52.8],21.7,0.11099643643019881,0.044965063561834925,0.23473887512989414,0.01717169750196058
151,Sweden,82.36,56.4 [52.4-60.4],4.9 [3.2-7.1],19.3 [14.7-24.3],51.8 [40.2-62.8],9.1,0.23712884186798236,0.02159413737470393,0.32173638011293815,0.053009337227733655
152,Switzerland,83.26,54.3 [50-58.2],4 [2.5-6.1],18 [13.5-23.2],59.2 [47-70.1],8.6,0.21704277430021662,0.0164798807625137,0.25447752155003955,0.0432581953396902
153,Syrian Arab Republic,63.8,61.4 [56.5-66.1],14.6 [10.7-19.5],24.5 [18.7-30.8],40.5 [25.2-56.6],21.8,0.08127420083184245,0.00756917883055271,0.21691251134303285,0.015699461689391476
154,Tajikistan,70.76,45.3 [39.9-51],10.1 [6.4-14.7],26.1 [18.9-34.2],24 [11.6-39.9],25.3,0.05257644794441093,0.009337946517459592,0.2212250716361317,0.020488077958579452
155,Thailand,75.47,32.6 [28.2-37.1],8.5 [5.8-11.9],22.3 [16.9-28.3],55.5 [47.6-63.1],14.5,0.1373904539123389,0.03469413435698984,0.18083170317491276,0.04457795373563499
156,Timor-Leste,68.55,21.6 [17.8-25.6],5.5 [3.4-7.9],27.6 [21.4-34.4],26.7 [13.7-42.8],19.9,0.06872857870447449,0.008529561080268911,0.10809578369033102,0.02165196274222108
157,Togo,60.61,28.1 [23.9-32.6],7.1 [4.6-10.4],28.9 [22.4-35.8],17.1 [8.3-29.8],23.6,0.044421056219800074,0.013209139019796664,0.14006747313431564,0.02215726545256215
158,Tonga,73.43,78.5 [74.3-82.5],24.2 [17.2-32],23.7 [17.5-30.6],49.7 [36.1-63.5],23.3,0.12062129855748793,0.08107333181732795,0.1532483711181199,0.038559267571655974
159,Trinidad and Tobago,71.81,46 [39.7-52.5],11.7 [7-18],25.8 [18.7-33.9],39.1 [21.3-58.4],21.3,0.13603733549754168,0.13502104803918225,0.2863752873734269,0.029399744331112265
160,Tunisia,76.05,61.6 [57.2-66],12.5 [9-16.7],23.2 [17.7-29],40.7 [25.2-57.5],16.1,0.07362918174916326,0.031166118863667207,0.2829720817746588,0.027556758518400042
161,Turkey,76.38,66.8 [63.3-70.3],13.6 [10.5-17.4],20.3 [15.9-24.9],39.7 [31.3-48.3],16.1,0.12847768901957896,0.027293726546724257,0.19619213681116973,0.03793412095134496
162,Turkmenistan,68.16,51.8 [46.6-56.9],12.2 [8.4-16.8],25.4 [19.3-32.4],35.1 [19-53.2],29.5,0.0799665016651152,0.012203368518240856,0.32581757712449433,0.008247428506539044
163,Uganda,62.5,22.4 [18.7-26.3],4.6 [2.8-6.9],27.3 [21-34.2],22.2 [10.4-37.4],21.9,0.0644981926861375,0.011510958879268429,0.07476322393912227,0.01373799145823294
164,Ukraine,72.5,58.4 [52.9-63.8],7.3 [4.3-11.4],27.1 [20.7-34.2],44.4 [25.3-63.6],24.7,0.21710568043249734,0.005694003279710106,0.8999276016205142,0.029225936708268525
165,United Arab Emirates,77.16,67.8 [63.2-72.4],15.1 [10.8-20.6],21.1 [15.2-28],57.6 [39.6-74],16.8,0.019260814178010302,0.007552632070911417,0.06377540801038353,0.008813184524047975
166,United Republic of Tanzania,63.91,27.7 [23.9-31.8],6.1 [4-8.7],27.3 [21.4-33.8],23.7 [12.1-38.5],17.9,0.051286323076012164,0.012147207185717735,0.09730018518081818,0.013189635114597609
167,United States of America,78.5,67.9 [64.5-71.1],7.3 [5.1-10.1],12.9 [9.8-16.8],53.8 [46.4-61],14.6,0.1943275303843161,0.026107685714829874,0.2591976932213313,0.07644946569704203
168,Uruguay,77.06,62.9 [58.1-67.7],9.5 [6.2-13.8],20.7 [15.3-26.6],42.3 [30.8-54.3],16.7,0.25159609466788585,0.027276930054533417,0.2696444274020418,0.0780050108947096
169,Uzbekistan,72.33,48.2 [42.9-53.6],10.6 [7-15.1],25.6 [19.3-32.4],26.8 [15.5-40.7],24.5,0.04403698483351104,0.018173286966537777,0.31460395990007306,0.011303441000888214
170,Vanuatu,71.98,57.1 [50.9-63.1],15.9 [10.4-22.9],24.2 [17.3-31.5],37.6 [22.1-54.8],23.3,0.07185818069458119,0.028383981374359567,0.15808799752807862,0.03125830860214281
171,Venezuela (Bolivarian Republic of),74.05,63.4 [59.2-67.6],9.5 [6.2-13.4],18.6 [13.7-24.1],38.4 [23.3-53.8],18.1,0.09570788813560197,0.05002470750888849,0.18150664315586928,0.024159793112844292
172,Viet Nam,76.34,18.3 [14.8-21.8],5.3 [3.4-7.6],23.4 [18-29.4],36.1 [21.5-52.9],17.1,0.10922952248139386,0.02216350233742507,0.18401559112791394,0.03270702448146466
173,Yemen,65.31,48.8 [43.7-54],11.3 [7.4-16.3],30.7 [23.3-38.7],32.3 [17.6-48.4],30.6,0.03847879562179474,0.014185697180638696,0.20904211208614773,0.023538540080483773
174,Zambia,62.33,27.8 [23.7-32.2],6.6 [4.2-9.7],27.1 [20.8-34.1],27.7 [18.6-37.9],17.9,0.049036117019095424,0.009013992099098424,0.07628587347325128,0.011672355870696944
175,Zimbabwe,61.45,38.2 [33.6-42.9],7.1 [4.3-10.5],28.2 [21.6-35.7],23.9 [11.5-40.7],19.3,0.06323439962743592,0.025587409227062104,0.10109521238903867,0.021168413761664187
